key,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
MSG_DELETE_MODE_BATCH,Delete Mode: Batch cleanup,Mode de suppression : Nettoyage par lots,删除模式: 批量清理,削除モード：一括クリーンアップ,삭제 모드: 일괄 정리,刪除模式：批次清理,Режим удаления: пакетная очистка,Tryb usuwania: czyszczenie wsadowe,Modo de eliminación: limpieza por lotes,Modo de exclusão: limpeza em lote,Löschmodus: Stapelbereinigung,Silme Modu: Toplu temizlik,Modalità eliminazione: pulizia batch
MSG_DELETE_MODE_NEVER,Delete Mode: Never delete,Mode de suppression : Ne jamais supprimer,删除模式: 永不删除,削除モード：削除しない,삭제 모드: 삭제하지 않음,刪除模式：永不刪除,Режим удаления: никогда не удалять,Tryb usuwania: nigdy nie usuwaj,Modo de eliminación: nunca eliminar,Modo de exclusão: nunca excluir,Löschmodus: Nie löschen,Silme Modu: Asla silme,Modalità eliminazione: non eliminare mai
MSG_DELAY_SET,Delay set to {1} seconds,Délai défini sur {1} secondes,延迟设为 {1} 秒,遅延を {1} 秒に設定しました,지연 시간이 {1}초로 설정되었습니다,延遲設為 {1} 秒,Задержка установлена на {1} секунд,Opóźnienie ustawione na {1} sekund,Retraso establecido en {1} segundos,Atraso definido em {1} segundos,Verzögerung auf {1} Sekunden gesetzt,Gecikme {1} saniyeye ayarlandı,Ritardo impostato a {1} secondi
MSG_INTERVAL_SET,Cleanup interval set to {1} seconds,Intervalle de nettoyage défini sur {1} secondes,清理间隔设为 {1} 秒,クリーンアップ間隔を {1} 秒に設定しました,정리 간격이 {1}초로 설정되었습니다,清理間隔設為 {1} 秒,Интервал очистки установлен на {1} секунд,Interwał czyszczenia ustawiony na {1} sekund,Intervalo de limpieza establecido en {1} segundos,Intervalo de limpeza definido em {1} segundos,Bereinigungsintervall auf {1} Sekunden gesetzt,Temizlik aralığı {1} saniyeye ayarlandı,Intervallo pulizia impostato a {1} secondi
MSG_HISTORY_DISABLED,"History disabled, all records cleared","Historique désactivé, tous les enregistrements effacés",历史已禁用，所有记录已清除,履歴が無効化され、すべての記録が消去されました,기록이 비활성화되어 모든 기록이 삭제되었습니다,歷史已停用，所有記錄已清除,"История отключена, все записи очищены","Historia wyłączona, wszystkie rekordy wyczyszczone","Historial desactivado, todos los registros borrados","Histórico desativado, todos os registros apagados","Verlauf deaktiviert, alle Einträge gelöscht","Geçmiş devre dışı bırakıldı, tüm kayıtlar temizlendi","Cronologia disabilitata, tutti i record cancellati"
MSG_HISTORY_LIMIT_SET,Max history set to {1},Historique max défini sur {1},最大历史已设为 {1},最大履歴数を {1} に設定しました,최대 기록이 {1}로 설정되었습니다,最大歷史已設為 {1},Макс. история установлена на {1},Maks. historia ustawiona na {1},Historial máx. establecido en {1},Histórico máx. definido em {1},Max. Verlauf auf {1} gesetzt,Maks. geçmiş {1} olarak ayarlandı,Cronologia max impostata a {1}
MSG_IGNORE_UPDATED,Ignore rules updated,Règles d'ignorance mises à jour,忽略规则已更新,無視ルールが更新されました,무시 규칙이 업데이트되었습니다,忽略規則已更新,Правила игнорирования обновлены,Zasady ignorowania zaktualizowane,Reglas de ignorado actualizadas,Regras de ignorar atualizadas,Ignorierregeln aktualisiert,Yoksayma kuralları güncellendi,Regole di ignoramento aggiornate
MSG_IMAGEMAGICK_SET,ImageMagick path set,Chemin d'ImageMagick défini,ImageMagick 路径已设置,ImageMagickのパスが設定されました,ImageMagick 경로가 설정되었습니다,ImageMagick 路徑已設定,Путь ImageMagick установлен,Ścieżka ImageMagick ustawiona,Ruta de ImageMagick establecida,Caminho do ImageMagick definido,ImageMagick-Pfad gesetzt,ImageMagick yolu ayarlandı,Percorso ImageMagick impostato
MSG_AUTOSTART_ON,Auto start enabled,Démarrage auto activé,开机自启已开启,自動起動が有効になりました,자동 시작이 활성화되었습니다,開機自啟已開啟,Автозапуск включён,Autostart włączony,Inicio automático activado,Inicialização automática ativada,Autostart aktiviert,Otomatik başlatma etkinleştirildi,Avvio automatico abilitato
MSG_AUTOSTART_OFF,Auto start disabled,Démarrage auto désactivé,开机自启已关闭,自動起動が無効になりました,자동 시작이 비활성화되었습니다,開機自啟已關閉,Автозапуск отключён,Autostart wyłączony,Inicio automático desactivado,Inicialização automática desativada,Autostart deaktiviert,Otomatik başlatma devre dışı bırakıldı,Avvio automatico disabilitato
MSG_NO_TEXT,"No text, please copy first","Aucun texte, veuillez d'abord copier",没有文本，请先复制,テキストがありません。まずコピーしてください,텍스트가 없습니다. 먼저 복사하세요,沒有文字，請先複製,"Нет текста, скопируйте сначала","Brak tekstu, skopiuj najpierw","Sin texto, copie primero","Sem texto, copie primeiro","Kein Text, bitte zuerst kopieren","Metin yok, lütfen önce kopyalayın","Nessun testo, copia prima"
MSG_NO_ENGLISH_LETTERS,No English letters found,Aucune lettre anglaise trouvée,没有英文字母,英字が見つかりません,영어 문자가 없습니다,沒有英文字母,Английских букв не найдено,Nie znaleziono liter angielskich,No se encontraron letras inglesas,Nenhuma letra inglesa encontrada,Keine englischen Buchstaben gefunden,İngilizce harf bulunamadı,Nessuna lettera inglese trovata
MSG_IM_SELECT_ERROR,Please select magick.exe,Veuillez sélectionner magick.exe,请选择 magick.exe,magick.exe を選択してください,magick.exe를 선택하세요,請選擇 magick.exe,Выберите magick.exe,Wybierz magick.exe,Seleccione magick.exe,Selecione magick.exe,Bitte magick.exe auswählen,Lütfen magick.exe seçin,Seleziona magick.exe
MSG_IM_FILE_NOT_EXIST,File does not exist,Le fichier n'existe pas,文件不存在,ファイルが存在しません,파일이 존재하지 않습니다,文件不存在,Файл не существует,Plik nie istnieje,El archivo no existe,O arquivo não existe,Datei existiert nicht,Dosya mevcut değil,Il file non esiste
MSG_IM_SAVE_FAIL,Failed to save path,Échec de l'enregistrement du chemin,保存路径失败,パスの保存に失敗しました,경로 저장에 실패했습니다,保存路徑失敗,Не удалось сохранить путь,Nie udało się zapisać ścieżki,Error al guardar la ruta,Falha ao salvar o caminho,Pfad speichern fehlgeschlagen,Yol kaydetme başarısız oldu,Salvataggio percorso fallito
MSG_IM_SET_SUCCESS,ImageMagick path set`n{1},Chemin d'ImageMagick défini`n{1},ImageMagick 路径已设置`n{1},ImageMagickのパスが設定されました`n{1},ImageMagick 경로가 설정되었습니다`n{1},ImageMagick 路徑已設定`n{1},Путь ImageMagick установлен`n{1},Ścieżka ImageMagick ustawiona`n{1},Ruta de ImageMagick establecida`n{1},Caminho do ImageMagick definido`n{1},ImageMagick-Pfad gesetzt`n{1},ImageMagick yolu ayarlandı`n{1},Percorso ImageMagick impostato`n{1}
MSG_LANG_CHANGED,Language switched: {1},Langue changée : {1},语言已切换: {1},言語を変更しました: {1},언어가 변경되었습니다: {1},語言已切換: {1},Язык изменён: {1},Zmieniono język: {1},Idioma cambiado: {1},Idioma alterado: {1},Sprache geändert: {1},Dil değiştirildi: {1},Lingua cambiata: {1}
MSG_PASTE_FILE_TYPE,Pasted {1} file,Fichier {1} collé,已粘贴 {1} 文件,{1} ファイルを貼り付けました,{1} 파일을 붙여넣었습니다,已貼上 {1} 檔案,Вставлен файл {1},Wklejono plik {1},Archivo {1} pegado,Arquivo {1} colado,{1} Datei eingefügt,{1} dosyası yapıştırıldı,File {1} incollato
MSG_PASTE_MULTI_COMPLETE,Paste complete ({1} items),Collage terminé ({1} éléments),粘贴完成 ({1} 条),貼り付け完了 ({1} 件),붙여넣기 완료 ({1} 개 항목),貼上完成 ({1} 條),Вставка завершена ({1} элементов),Wklejanie zakończone ({1} elementów),Pegado completado ({1} elementos),Colagem concluída ({1} itens),Einfügen abgeschlossen ({1} Elemente),Yapıştırma tamamlandı ({1} öğe),Incollaggio completato ({1} elementi)
MSG_PDF_CREATE_FAIL,PDF creation failed,Échec de la création du PDF,创建PDF失败,PDF の作成に失敗しました,PDF 생성 실패,建立PDF失敗,Ошибка создания PDF,Tworzenie PDF nie powiodło się,Error al crear el PDF,Falha ao criar o PDF,PDF-Erstellung fehlgeschlagen,PDF oluşturma başarısız oldu,Creazione PDF non riuscita
MSG_PDF_CREATE_SUCCESS,PDF created successfully,PDF créé avec succès,PDF 创建成功,PDF の作成に成功しました,PDF 생성 성공,PDF 建立成功,PDF успешно создан,PDF utworzono pomyślnie,PDF creado correctamente,PDF criado com sucesso,PDF erfolgreich erstellt,PDF başarıyla oluşturuldu,PDF creato con successo
MSG_PDF_IM_ERROR,PDF creation failed (ImageMagick error),Échec de la création du PDF (erreur ImageMagick),PDF 创建失败（ImageMagick 执行错误）,PDF の作成に失敗しました（ImageMagick エラー）,PDF 생성 실패(ImageMagick 오류),PDF 建立失敗（ImageMagick 執行錯誤）,Ошибка создания PDF (ошибка ImageMagick),Tworzenie PDF nie powiodło się (błąd ImageMagick),Error al crear el PDF (error de ImageMagick),Falha ao criar o PDF (erro do ImageMagick),PDF-Erstellung fehlgeschlagen (ImageMagick-Fehler),PDF oluşturma başarısız oldu (ImageMagick hatası),Creazione PDF non riuscita (errore ImageMagick)
MSG_PDF_IM_EXCEPTION,PDF creation failed: {1},Échec de la création du PDF : {1},PDF 创建失败: {1},PDF の作成に失敗しました: {1},PDF 생성 실패: {1},PDF 建立失敗: {1},Ошибка создания PDF: {1},Tworzenie PDF nie powiodło się: {1},Error al crear el PDF: {1},Falha ao criar o PDF: {1},PDF-Erstellung fehlgeschlagen: {1},PDF oluşturma başarısız oldu: {1},Creazione PDF non riuscita: {1}
MSG_NO_IMAGE_FILES,No valid image files in clipboard,Aucun fichier image valide dans le presse-papiers,剪贴板中没有有效的图片文件,クリップボードに有効な画像ファイルがありません,클립보드에 유효한 이미지 파일이 없습니다,剪貼簿中沒有有效的圖片檔案,В буфере обмена нет допустимых изображений,Brak prawidłowych plików graficznych w schowku,No hay archivos de imagen válidos en el portapapeles,Nenhum arquivo de imagem válido na área de transferência,Keine gültigen Bilddateien in der Zwischenablage,Panoda geçerli görüntü dosyası yok,Nessun file immagine valido negli appunti
MSG_COMBINE_FOLDER,Folder content merged and pasted,Contenu du dossier fusionné et collé,已粘贴合并的文件夹内容,フォルダの内容を結合して貼り付けました,폴더 내용을 병합하여 붙여넣었습니다,已貼上合併的資料夾內容,Содержимое папки объединено и вставлено,Zawartość folderu połączona i wklejona,Contenido de la carpeta combinado y pegado,Conteúdo da pasta mesclado e colado,Ordnerinhalt zusammengeführt und eingefügt,Klasör içeriği birleştirilip yapıştırıldı,Contenuto della cartella unito e incollato
MSG_PASTE_IMAGE_PATHS,Paste image paths ({1} files),Coller les chemins d'images ({1} fichiers),粘贴图片路径 ({1} 个文件),画像パスを貼り付け ({1} ファイル),이미지 경로 붙여넣기 ({1} 개 파일),貼上圖片路徑 ({1} 個檔案),Вставить пути изображений ({1} файлов),Wklej ścieżki obrazów ({1} plików),Pegar rutas de imágenes ({1} archivos),Colar caminhos de imagens ({1} arquivos),Bildpfade einfügen ({1} Dateien),Resim yollarını yapıştır ({1} dosya),Incolla percorsi immagini ({1} file)
MSG_PASTE_MIXED,"Paste mixed paths ({1} files, {2} folders)","Coller le contenu de chemins mixtes ({1} fichiers, {2} dossiers)","粘贴混合路径内容 ({1} 文件, {2} 文件夹)",混合パスの内容を貼り付け ({1} ファイル、{2} フォルダ),"혼합 경로 내용 붙여넣기 ({1} 파일, {2} 폴더)","貼上混合路徑內容 ({1} 檔案, {2} 資料夾)","Вставить содержимое смешанных путей ({1} файлов, {2} папок)","Wklej zawartość ścieżek mieszanych ({1} plików, {2} folderów)","Pegar contenido de rutas mixtas ({1} archivos, {2} carpetas)","Colar conteúdo de caminhos mistos ({1} arquivos, {2} pastas)","Inhalt gemischter Pfade einfügen ({1} Dateien, {2} Ordner)","Karışık yol içeriğini yapıştır ({1} dosya, {2} klasör)","Incolla contenuto percorsi misti ({1} file, {2} cartelle)"
MSG_PASTE_FOLDERS,Paste {1} folders content,Coller le contenu de {1} dossiers,粘贴 {1} 个文件夹内容,{1} 個のフォルダーの内容を貼り付け,{1}개 폴더 내용 붙여넣기,貼上 {1} 個資料夾內容,Вставить содержимое {1} папок,Wklej zawartość {1} folderów,Pegar contenido de {1} carpetas,Colar conteúdo de {1} pastas,Inhalt von {1} Ordnern einfügen,{1} klasör içeriğini yapıştır,Incolla contenuto di {1} cartelle
MSG_PASTE_FILES,Paste {1} files content,Coller le contenu de {1} fichiers,粘贴 {1} 个文件内容,{1} 個のファイルの内容を貼り付け,{1}개 파일 내용 붙여넣기,貼上 {1} 個檔案內容,Вставить содержимое {1} файлов,Wklej zawartość {1} plików,Pegar contenido de {1} archivos,Colar conteúdo de {1} arquivos,Inhalt von {1} Dateien einfügen,{1} dosya içeriğini yapıştır,Incolla contenuto di {1} file
MSG_SUCCESS,Success,Succès,成功,成功,성공,成功,Успех,Sukces,Éxito,Sucesso,Erfolg,Başarılı,Successo
MSG_ERROR,Error,Erreur,错误,エラー,오류,錯誤,Ошибка,Błąd,Error,Erro,Fehler,Hata,Errore
MSG_INFO,Info,Info,提示,情報,정보,提示,Информация,Informacja,Info,Info,Info,Bilgi,Informazioni
MSG_LANG_CSV_NOT_FOUND,lang.csv not found on {1},lang.csv introuvable sur {1},未在 {1} 找到 lang.csv,{1} に lang.csv が見つかりません,{1}에서 lang.csv를 찾을 수 없습니다,未在 {1} 找到 lang.csv,lang.csv не найден в {1},lang.csv nie znaleziono w {1},lang.csv no encontrado en {1},lang.csv não encontrado em {1},lang.csv nicht gefunden auf {1},{1} konumunda lang.csv bulunamadı,lang.csv non trovato in {1}
MSG_LANG_REBUILT,Language cache rebuilt successfully! ({1} languages),Cache linguistique reconstruit avec succès ! ({1} langues),语言缓存重建成功！（共{1}种语言）,言語キャッシュの再構築に成功しました！（{1}言語）,언어 캐시 재구성 성공! ({1}개 언어),語言快取重建成功！（共{1}種語言）,Языковой кеш успешно перестроен! ({1} языков),Pamięć podręczna języka została pomyślnie przebudowana! ({1} języków),¡Caché de idiomas reconstruido con éxito! ({1} idiomas),Cache de idiomas reconstruído com sucesso! ({1} idiomas),Sprachcache erfolgreich neu aufgebaut! ({1} Sprachen),Dil önbelleği başarıyla yeniden oluşturuldu! ({1} dil),Cache della lingua ricostruito con successo! ({1} lingue)
MSG_LANG_REBUILD_FAIL,Failed to rebuild language cache,Échec de la reconstruction du cache de langue,语言缓存重建失败,言語キャッシュの再構築に失敗しました,언어 캐시 재구축 실패,語言緩存重建失敗,Не удалось перестроить языковой кэш,Nie udało się odbudować pamięci podręcznej języka,Error al reconstruir la caché de idioma,Falha ao reconstruir o cache de idioma,Sprachcache konnte nicht neu aufgebaut werden,Dil önbelleği yeniden oluşturulamadı,Ricostruzione della cache della lingua non riuscita
MSG_PROCESSING_TITLE,Processing...,Traitement en cours...,正在处理中...,処理中...,처리 중...,處理中...,Обработка...,Przetwarzanie...,Procesando...,Processando...,Wird verarbeitet...,İşleniyor...,Elaborazione in corso...
MSG_PROCESSING_SUBTITLE,"Converting image to PDF, please do not switch windows…","Conversion de l'image en PDF, veuillez ne pas changer de fenêtre…",正在转换图片为 PDF，请勿切换窗口…,画像をPDFに変換中です。ウィンドウを切り替えないでください…,이미지를 PDF로 변환 중입니다. 창을 전환하지 마세요…,正在轉換圖片為 PDF，請勿切換視窗…,"Преобразование изображения в PDF, пожалуйста, не переключайте окно…","Konwersja obrazu do PDF, proszę nie przełączać okna…","Convirtiendo imagen a PDF, por favor no cambie de ventana…","Convertendo imagem para PDF, por favor não altere a janela…","Konvertiere Bild in PDF, bitte Fenster nicht wechseln…","Görüntü PDF'ye dönüştürülüyor, lütfen pencereyi değiştirmeyin…","Conversione dell'immagine in PDF, non cambiare finestra…"
MSG_PROCESSING_WAIT,... Please wait ...,... Veuillez patienter ...,…… 请稍候 ……,…… お待ちください ……,…… 잠시만 기다려 주세요 ……,…… 請稍候 ……,"…… Пожалуйста, подождите ……",…… Proszę czekać ……,"…… Por favor, espere ……","…… Por favor, aguarde ……",…… Bitte warten Sie ……,…… Lütfen bekleyin ……,…… Attendere prego ……
MSG_PANDOC_NOT_FOUND,Pandoc executable not found. Please set path in settings.,Exécutable Pandoc introuvable. Veuillez définir le chemin dans les paramètres.,未找到 Pandoc 可执行文件，请在设置中指定路径。,Pandoc実行可能ファイルが見つかりません。設定でパスを設定してください。,Pandoc 실행 파일을 찾을 수 없습니다. 설정에서 경로를 지정하세요.,找不到 Pandoc 可執行檔案，請在設定中指定路徑。,Исполняемый файл Pandoc не найден. Укажите путь в настройках.,Nie znaleziono pliku wykonywalnego Pandoc. Ustaw ścieżkę w ustawieniach.,No se encontró el ejecutable de Pandoc. Configure la ruta en la configuración.,Executável do Pandoc não encontrado. Defina o caminho nas configurações.,Pandoc-Ausführbare Datei nicht gefunden. Bitte Pfad in den Einstellungen festlegen.,Pandoc çalıştırılabilir dosyası bulunamadı. Lütfen ayarlarda yolu belirtin.,Eseguibile Pandoc non trovato. Imposta il percorso nelle impostazioni.
MSG_PANDOC_UNSUPPORTED_INPUT,Unsupported input format: {1},Format d'entrée non pris en charge : {1},不支持的输入格式：{1},サポートされていない入力形式：{1},지원되지 않는 입력 형식: {1},不支援的輸入格式：{1},Неподдерживаемый формат ввода: {1},Nieobsługiwany format wejściowy: {1},Formato de entrada no compatible: {1},Formato de entrada não suportado: {1},Nicht unterstütztes Eingabeformat: {1},Desteklenmeyen giriş biçimi: {1},Formato di input non supportato: {1}
MSG_PANDOC_SUCCESS,Converted {1} file(s).,{1} fichier(s) converti(s).,已转换 {1} 个文件。,{1}個のファイルを変換しました。,{1}개의 파일을 변환했습니다.,已轉換 {1} 個檔案。,Преобразовано {1} файл(ов).,Przekonwertowano {1} plik(i).,Se convirtieron {1} archivo(s).,{1} arquivo(s) convertido(s).,{1} Datei(en) konvertiert.,{1} dosya dönüştürüldü.,{1} file convertiti.
MSG_PANDOC_FAILED,Conversion failed: {1},Échec de la conversion : {1},转换失败：{1},変換に失敗しました：{1},변환 실패: {1},轉換失敗：{1},Ошибка преобразования: {1},Konwersja nie powiodła się: {1},Error en la conversión: {1},Falha na conversão: {1},Konvertierung fehlgeschlagen: {1},Dönüştürme başarısız: {1},Conversione fallita: {1}
MSG_PANDOC_NO_OUTPUT,No files were converted successfully.,Aucun fichier n'a été converti avec succès.,没有文件成功转换。,正常に変換されたファイルはありません。,성공적으로 변환된 파일이 없습니다.,沒有檔案成功轉換。,Файлы не были успешно преобразованы.,Żaden plik nie został pomyślnie przekonwertowany.,No se convirtió ningún archivo con éxito.,Nenhum arquivo foi convertido com sucesso.,Keine Dateien wurden erfolgreich konvertiert.,Hiçbir dosya başarıyla dönüştürülmedi.,Nessun file è stato convertito con successo.
MSG_PANDOC_INVALID_OUTPUT,Invalid output format: {1},Format de sortie invalide : {1},无效的输出格式：{1},無効な出力形式：{1},잘못된 출력 형식: {1},無效的輸出格式：{1},Недопустимый формат вывода: {1},Nieprawidłowy format wyjściowy: {1},Formato de salida no válido: {1},Formato de saída inválido: {1},Ungültiges Ausgabeformat: {1},Geçersiz çıktı biçimi: {1},Formato di output non valido: {1}
MSG_PANDOC_PATH_SET,Pandoc path set`n{1},Chemin de Pandoc défini`n{1},Pandoc 路径已设置`n{1},Pandocのパスを設定しました`n{1},Pandoc 경로가 설정되었습니다`n{1},Pandoc 路徑已設定`n{1},Путь к Pandoc установлен`n{1},Ścieżka Pandoc ustawiona`n{1},Ruta de Pandoc establecida`n{1},Caminho do Pandoc definido`n{1},Pandoc-Pfad gesetzt`n{1},Pandoc yolu ayarlandı`n{1},Percorso di Pandoc impostato`n{1}
MSG_PANDOC_OUTPUT_SET,Output format set to: {1},Format de sortie défini sur : {1},输出格式设置为：{1},出力形式を設定しました：{1},출력 형식이 설정되었습니다: {1},輸出格式設定為：{1},Формат вывода установлен: {1},Format wyjściowy ustawiony na: {1},Formato de salida establecido en: {1},Formato de saída definido como: {1},Ausgabeformat festgelegt auf: {1},Çıktı biçimi şu şekilde ayarlandı: {1},Formato di output impostato su: {1}
MSG_PANDOC_SELECT_ERROR,Please select pandoc.exe.,Veuillez sélectionner pandoc.exe.,请选择 pandoc.exe。,pandoc.exeを選択してください。,pandoc.exe를 선택하세요.,請選擇 pandoc.exe。,"Пожалуйста, выберите pandoc.exe.",Wybierz pandoc.exe.,Seleccione pandoc.exe.,Selecione pandoc.exe.,Bitte wählen Sie pandoc.exe.,Lütfen pandoc.exe'yi seçin.,Seleziona pandoc.exe.
MSG_PANDOC_FILE_NOT_EXIST,File does not exist.,Le fichier n'existe pas.,文件不存在。,ファイルが存在しません。,파일이 존재하지 않습니다.,檔案不存在。,Файл не существует.,Plik nie istnieje.,El archivo no existe.,O arquivo não existe.,Datei existiert nicht.,Dosya mevcut değil.,Il file non esiste.
MSG_PANDOC_PROGRESS_TITLE,Converting files...,Conversion des fichiers en cours...,文件转换中...,ファイル変換中...,파일 변환 중...,檔案轉換中...,Преобразование файлов...,Konwertowanie plików...,Convirtiendo archivos...,Convertendo arquivos...,Konvertiere Dateien...,Dosyalar dönüştürülüyor...,Conversione file in corso...
MSG_PANDOC_PROGRESS_SUBTITLE,Please wait...,Veuillez patienter...,请稍候...,お待ちください...,잠시만 기다려주세요...,請稍候...,Подождите...,Proszę czekać...,"Por favor, espere...",Aguarde...,Bitte warten Sie...,Lütfen bekleyin...,Attendere prego...
MSG_PANDOC_PROGRESS,Converting {1}/{2}: {3},Conversion {1}/{2} : {3},正在转换 {1}/{2}: {3},変換中 {1}/{2}: {3},변환 중 {1}/{2}: {3},正在轉換 {1}/{2}: {3},Преобразование {1}/{2}: {3},Konwertowanie {1}/{2}: {3},Convirtiendo {1}/{2}: {3},Convertendo {1}/{2}: {3},Konvertiere {1}/{2}: {3},{1}/{2} dönüştürülüyor: {3},Conversione {1}/{2}: {3}
MSG_PANDOC_SKIPPED_FILES,"Skipped unsupported files:\n{1}","Fichiers non pris en charge ignorés :\n{1}","跳过了不支持的文件：\n{1}","サポートされていないファイルをスキップしました：\n{1}","지원되지 않는 파일을 건너뛰었습니다：\n{1}","跳過了不支援的檔案：\n{1}","Пропущены неподдерживаемые файлы：\n{1}","Pominięto nieobsługiwane pliki：\n{1}","Archivos no compatibles omitidos：\n{1}","Arquivos não suportados ignorados：\n{1}","Nicht unterstützte Dateien übersprungen：\n{1}","Desteklenmeyen dosyalar atlandı：\n{1}","File non supportati saltati：\n{1}"
INPUT_MAX_HISTORY_TITLE,Max History,Nombre max d'historique,历史上限,履歴上限,최대 기록 수,歷史上限,Макс. история,Maks. historia,Máx. historial,Máx. histórico,Max. Verlauf,Maks. Geçmiş,Cronologia max
INPUT_MAX_HISTORY_PROMPT,Enter max history count (0=disable):,Entrez le nombre max d'historique (0=désactiver) :,输入最大历史数量 (0=禁用):,最大履歴数を入力してください (0=無効):,최대 기록 수 입력 (0=비활성화):,輸入最大歷史數量 (0=禁用):,Введите макс. количество записей (0=откл.):,Wprowadź maks. liczbę historii (0=wyłącz):,Introduzca el máx. de historial (0=desactivar):,Digite o máx. de histórico (0=desativar):,Max. Verlauf eingeben (0=deaktivieren):,Maks. geçmiş sayısını girin (0=devre dışı):,Inserisci cronologia max (0=disabilita):
INPUT_DELAY_TITLE,Delete Delay,Délai de suppression,延迟删除,削除遅延,삭제 지연,延遲刪除,Задержка удаления,Opóźnienie usuwania,Retraso de eliminación,Atraso de exclusão,Löschverzögerung,Silme Gecikmesi,Ritardo eliminazione
INPUT_DELAY_PROMPT,Enter delay in seconds:,Entrez le délai en secondes :,输入延迟秒数:,遅延秒数を入力してください:,지연 시간(초) 입력:,輸入延遲秒數:,Введите задержку в секундах:,Wprowadź opóźnienie w sekundach:,Introduzca el retraso en segundos:,Digite o atraso em segundos:,Verzögerung in Sekunden eingeben:,Gecikmeyi saniye olarak girin:,Inserisci ritardo in secondi:
INPUT_INTERVAL_TITLE,Batch Cleanup,Nettoyage par lots,批量清理,一括クリーンアップ,일괄 정리,批量清理,Пакетная очистка,Czyszczenie wsadowe,Limpieza por lotes,Limpeza em lote,Stapelbereinigung,Toplu Temizlik,Pulizia batch
INPUT_INTERVAL_PROMPT,Enter cleanup interval in seconds:,Entrez l'intervalle de nettoyage en secondes :,输入清理间隔秒数:,クリーンアップ間隔(秒)を入力してください:,정리 간격(초) 입력:,輸入清理間隔秒數:,Введите интервал очистки в секундах:,Wprowadź interwał czyszczenia w sekundach:,Introduzca el intervalo de limpieza en segundos:,Digite o intervalo de limpeza em segundos:,Bereinigungsintervall in Sekunden eingeben:,Temizleme aralığını saniye olarak girin:,Inserisci intervallo pulizia in secondi:
INPUT_PANDOC_PATH_TITLE,Select Pandoc executable,Sélectionner l'exécutable Pandoc,选择 Pandoc 可执行文件,Pandoc実行可能ファイルを選択,Pandoc 실행 파일 선택,選擇 Pandoc 可執行檔案,Выберите исполняемый файл Pandoc,Wybierz plik wykonywalny Pandoc,Seleccionar ejecutable de Pandoc,Selecionar executável do Pandoc,Pandoc-Ausführbare Datei auswählen,Pandoc çalıştırılabilir dosyasını seçin,Seleziona l'eseguibile Pandoc
INPUT_PANDOC_PATH_FILTER,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe,Pandoc.exe
INPUT_PANDOC_OUTPUT_TITLE,Set Pandoc Output Format,Définir le format de sortie Pandoc,设置 Pandoc 输出格式,Pandoc出力形式を設定,Pandoc 출력 형식 설정,設定 Pandoc 輸出格式,Установить формат вывода Pandoc,Ustaw format wyjściowy Pandoc,Establecer formato de salida de Pandoc,Definir formato de saída do Pandoc,Pandoc-Ausgabeformat festlegen,Pandoc çıktı biçimini ayarla,Imposta formato di output Pandoc
INPUT_PANDOC_OUTPUT_PROMPT,"Enter output format (e.g., docx, html, markdown):","Entrez le format de sortie (ex. docx, html, markdown) :","输入输出格式（例如 docx, html, markdown）：","出力形式を入力してください（例：docx, html, markdown）：","출력 형식을 입력하세요 (예: docx, html, markdown):","輸入輸出格式（例如 docx, html, markdown）：","Введите формат вывода (например, docx, html, markdown):","Wprowadź format wyjściowy (np. docx, html, markdown):","Introduzca el formato de salida (p. ej., docx, html, markdown):","Insira o formato de saída (ex.: docx, html, markdown):","Geben Sie das Ausgabeformat ein (z.B. docx, html, markdown):","Çıktı biçimini girin (ör. docx, html, markdown):","Inserisci il formato di output (es. docx, html, markdown):"
CONFIRM_DISABLE_HISTORY,Disabling history will clear all {1} records. Continue?,La désactivation de l'historique effacera {1} enregistrements. Continuer ?,禁用历史将清除所有 {1} 条记录，继续吗？,履歴を無効にすると {1} 件の記録が削除されます。続行しますか？,기록을 비활성화하면 {1}개의 기록이 삭제됩니다. 계속하시겠습니까?,禁用歷史將清除所有 {1} 條記錄，繼續嗎？,Отключение истории удалит {1} записей. Продолжить?,Wyłączenie historii wyczyści {1} rekordów. Kontynuować?,Desactivar el historial borrará {1} registros. ¿Continuar?,Desativar o histórico limpará {1} registros. Continuar?,Das Deaktivieren des Verlaufs löscht {1} Einträge. Fortfahren?,Geçmişi devre dışı bırakmak {1} kaydı siler. Devam edilsin mi?,Disabilitare la cronologia cancellerà {1} record. Continuare?
